date,value,source,parser
2026-05-14,15.3,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-05-15,15.3,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-05-29,13.8,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-05,13.8,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-15,13.8,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-16,13.8,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-17,13.8,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-18,13.8,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-20,13.8,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-21,13.8,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-22,13.8,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-23,13.8,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-24,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-25,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-27,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-28,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-29,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-06-30,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-01,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-02,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-04,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-05,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-06,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-07,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-08,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-09,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-11,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-12,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-13,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-14,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-21,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-22,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-23,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-25,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-26,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-27,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-28,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-29,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-07-30,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-08-01,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-08-02,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-08-03,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-08-04,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-08-05,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-08-06,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-08-08,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
2026-08-09,14.1,https://tradingeconomics.com/india/steel-production,tiered:tiered_v1
